name,recommend_time,City
Space Needle,60,Seattle
Pike Place Fish Market,120,Seattle
University of Washington,120,Seattle
Chihuly Garden and Glass,120,Seattle
Seattle Docklands,120,Seattle
Kerry Park,60,Seattle
Snoqualmie Falls,720,Seattle
The Museum of Flight,120,Seattle
The Gum Wall,30,Seattle
Woodland Park Zoo,180,Seattle
Seattle Central Library,,Seattle
The Seattle Great Wheel,60,Seattle
Seattle Aquarium,120,Seattle
Museum of Pop Culture,120,Seattle
Lake Washington,180,Seattle
Gas Works Park,60,Seattle
Bruce Lee and Brandon Lee Grave Sites,,Seattle
Pacific Science Center,60,Seattle
North Cascade National Park,240,Seattle
Ride the Ducks of Seattle,,Seattle
Microsoft,,Seattle
Medina,,Seattle
Woodland Park Zoo,180,Seattle
Gas Works Park,60,Seattle
Olympic Sculpture Park,60,Seattle
Bill Speidels Underground Tour,,Seattle
Columbia Center,60,Seattle
Seattle Children's Museum,,Seattle
Seattle Art Museum,,Seattle
Museum of Glass,,Seattle
Space Needle,60,Tacoma
Pike Place Fish Market,120,Tacoma
University of Washington,120,Tacoma
Museum of Glass,,Tacoma
The Museum of Flight,120,Tacoma
Chihuly Garden and Glass,120,Tacoma
Washington State History Museum,,Tacoma
Seattle Docklands,120,Tacoma
Kerry Park,60,Tacoma
LeMay - American Car Museum,,Tacoma
